Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501
Chevrolet,Malibu,2012,2,Hybrid,Automatic,5356,2,3,12092
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171
Audi,Q5,2023,2,Electric,Manual,160971,2,1,11780
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867
Toyota,Camry,2007,2.7,Petrol,Automatic,?,4,4,7242
Honda,Civic,2010,3.4,Electric,Automatic,?,?,1,11208
Kia,Sportage,2001,4.7,Electric,?,139584,2,2,7950
Kia,Sportage,2014,2.6,Hybrid,Manual,139584,3,4,9926
Toyota,RAV4,2005,3.1,Petrol,Manual,?,2,?,6545
BMW,?,2013,1.3,Hybrid,Automatic,139584,2,3,5863
Volkswagen,Golf,2009,4.5,Hybrid,Manual,139584,4,3,11444
Honda,CR-V,2007,4.8,Hybrid,Automatic,139584,3,4,10842
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,139584,2,1,4820
Volkswagen,Golf,2003,2.4,Petrol,Automatic,139584,5,2,5981
Volkswagen,Golf,2007,3.2,Diesel,Automatic,139584,2,1,9697
?,Elantra,2017,2.9,Electric,?,139584,5,2,14837
Volkswagen,Tiguan,2006,4.5,Electric,Manual,139584,2,2,11576
Kia,?,2000,3.4,Diesel,Semi-Automatic,139584,3,3,2351
Mercedes,GLA,2021,1.5,Petrol,Manual,139584,?,1,?
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,139584,2,1,13374
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,139584,?,2,8863
Toyota,RAV4,2003,2,Electric,Manual,139584,5,4,6266
Ford,Explorer,2006,2.8,Hybrid,Manual,139584,4,2,7701
Mercedes,?,2016,3.9,Petrol,Semi-Automatic,139584,3,4,12402
Kia,Sportage,2011,1.8,Diesel,Automatic,139584,2,4,8856
Audi,A3,2022,3.3,Electric,Manual,139584,5,3,14413
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,?,5,3,10645
BMW,3 Series,2020,4.7,Electric,?,139584,3,3,12584
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,139584,4,4,9963
Hyundai,Tucson,2007,3.9,Electric,Automatic,139584,4,5,9327
Volkswagen,Passat,2008,3.5,Electric,Manual,?,3,?,?
Chevrolet,Impala,2017,2.3,Petrol,Automatic,139584,5,1,9327
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,139584,3,5,11696
Toyota,Corolla,2010,3.2,Diesel,Automatic,139584,?,4,9150
Kia,Optima,2005,4.5,Petrol,Manual,139584,2,5,9728
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,139584,4,1,7231
Kia,Sportage,2000,1.4,Electric,Manual,139584,5,4,4159
Ford,Fiesta,2017,2.2,Hybrid,Manual,139584,2,4,6852
Audi,A4,2004,1,Petrol,Manual,139584,2,1,4411
Ford,Focus,2004,1.2,Electric,Manual,139584,3,3,6627
?,5 Series,2007,4.9,Petrol,Manual,139584,2,1,8690
Honda,Civic,2000,3.9,Hybrid,Manual,139584,2,4,7879
Toyota,RAV4,2003,3.9,Electric,?,139584,5,3,9762
Audi,Q5,2023,3.6,Electric,Manual,139584,5,?,11833
Ford,Focus,2011,2.3,Diesel,Automatic,139584,5,5,6092
Audi,A4,2009,2.4,Diesel,Manual,139584,2,5,?
Hyundai,Elantra,2006,?,Electric,Manual,139584,3,3,8494
Audi,A3,2009,1.2,Electric,Automatic,139584,5,1,9271
Mercedes,GLA,2013,1.9,Petrol,Manual,139584,2,2,5799
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,139584,3,5,6694
Mercedes,GLA,2022,3.8,Diesel,Manual,139584,3,2,10670
Ford,Focus,2008,?,Electric,Semi-Automatic,139584,3,1,4685
Honda,Civic,2015,2.6,Electric,Semi-Automatic,139584,5,1,11864
Kia,Optima,2020,3.2,Electric,Manual,139584,3,5,13538
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,139584,3,5,6679
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,139584,2,2,10556
Volkswagen,Passat,2003,2,Electric,Manual,139584,3,3,3245
Hyundai,Sonata,2007,3.6,Electric,?,139584,3,3,11241
Honda,Civic,2005,2.4,Petrol,Automatic,139584,2,5,8293
Toyota,Camry,2008,1.3,Petrol,Automatic,139584,2,2,5538
Ford,Fiesta,2004,4,Diesel,Automatic,139584,3,3,9093
Ford,Focus,2015,4.8,Electric,Automatic,139584,4,2,14887
Mercedes,C-Class,2007,2.7,Hybrid,Manual,139584,5,2,6953
Mercedes,GLA,2011,4,Diesel,Manual,139584,4,5,8594
Volkswagen,Passat,2005,3.2,Electric,Semi-Automatic,139584,5,4,7689
Volkswagen,Golf,2000,4,Hybrid,Manual,139584,4,5,4355
